ticker,window_months,cagr,vol_annual,sharpe,sortino,beta_base,beta_local,treynor,skewness,kurtosis,max_drawdown,ttr_months,recovered
VOO,36,0.218,0.115,1.391,2.674,1.0,1.0,0.16,-0.263,-0.206,-0.083,,False
VT,36,0.205,0.107,1.381,2.626,0.885,0.885,0.167,-0.193,-0.421,-0.097,,False
QQQ,36,0.282,0.15,1.444,3.03,1.146,1.146,0.189,-0.129,-0.47,-0.101,,False
SMH,36,0.51,0.258,1.57,3.906,1.622,1.622,0.25,0.104,-1.151,-0.186,,False
VGK,36,0.185,0.128,1.044,1.798,0.634,1.0,0.211,-0.292,-0.692,-0.112,,False
BBJP,36,0.222,0.11,1.482,2.843,0.55,0.55,0.296,-0.402,-0.319,-0.069,,False
VWO,36,0.175,0.11,1.117,2.031,0.541,1.0,0.227,-0.201,-0.436,-0.112,,False
VDC,36,0.12,0.117,0.639,1.048,0.462,0.462,0.162,-0.137,-0.808,-0.093,,False
ITA,36,0.296,0.17,1.358,2.645,0.979,0.979,0.236,-0.271,-0.487,-0.098,,False
CIBR,36,0.156,0.172,0.665,1.159,0.892,0.892,0.128,-0.005,-0.644,-0.184,,False
ROBO,36,0.147,0.191,0.578,0.921,1.363,1.363,0.081,-0.212,-0.543,-0.219,,False
SCHD,36,0.126,0.136,0.614,0.984,0.646,0.646,0.129,-0.309,-0.41,-0.11,,False
COPX,36,0.394,0.301,1.111,2.267,0.846,0.846,0.395,0.041,-0.9,-0.213,,False
URA,36,0.437,0.376,1.033,2.011,1.076,1.076,0.361,-0.007,-0.116,-0.272,,False
SLV,36,0.641,0.29,1.72,4.683,0.217,0.217,2.302,0.269,-0.712,-0.117,,False
GLD,36,0.418,0.145,2.197,7.124,-0.173,-0.173,-1.846,0.327,-0.572,-0.072,,False
SCHP,36,0.046,0.044,0.009,0.012,0.176,0.176,0.002,0.016,-0.621,-0.047,,False
BIL,36,0.046,0.003,0.028,0.042,0.006,1.0,0.015,-2.873,11.736,-0.0,,False
BND,36,0.05,0.055,0.092,0.135,0.269,1.0,0.019,0.171,0.112,-0.06,,False
