Date,cash
2014-04-30,0.0
2014-05-31,0.0
2014-06-30,-0.00021804991206442192
2014-07-31,-0.00021881321235073248
2014-08-31,0.000218861102051493
2014-09-30,0.0
2014-10-31,-0.00021881321235073248
2014-11-30,0.0
2014-12-31,-0.00021855428742256766
2015-01-31,-0.0002189089455401083
2015-02-28,0.0
2015-03-31,0.0
2015-04-30,-0.00021803603047965137
2015-05-31,-0.00021931164389277225
2015-06-30,0.0
2015-07-31,0.0
2015-08-31,0.0
2015-09-30,-0.00043728644923812787
2015-10-31,-0.00021863647032460687
2015-11-30,0.00021868428268434492
2015-12-31,-0.00021863647032460687
2016-01-31,0.00021868428268434492
2016-02-29,0.0
2016-03-31,0.0
2016-04-30,0.00043747775233105024
2016-05-31,0.0
2016-06-30,-0.00021843850249858576
2016-07-31,0.00043789390742854373
2016-08-31,0.0
2016-09-30,0.0002180835805578596
2016-10-31,0.00021895687715933754
2016-11-30,-0.00043689724598228175
2016-12-31,0.0002183905963915045
2017-01-31,0.0004375043548361379
2017-02-28,0.0005031758887112936
2017-03-31,-0.00017438746912568082
2017-04-30,0.0007436786040679877
2017-05-31,0.00015314074922101462
2017-06-30,0.0010287153672976501
2017-07-31,0.0003285730714368551
2017-08-31,0.0011379991229367725
2017-09-30,0.0007215981289394602
2017-10-31,0.0007000013949118866
2017-11-30,0.0005464840047357811
2017-12-31,0.000743670588402745
2018-01-31,0.0013133870570456452
2018-02-28,0.0008313465551128552
2018-03-31,0.0013011447376491958
2018-04-30,0.0010390973412739424
2018-05-31,0.0014984049857271753
2018-06-30,0.001487274229569957
2018-07-31,0.001388643182244076
2018-08-31,0.001585136579791424
2018-09-30,0.0014000092516055496
2018-10-31,0.001705940726693722
2018-11-30,0.0018593241391340332
2018-12-31,0.0018275555633826546
2019-01-31,0.0017495109090235328
2019-02-28,0.0018485547123836543
2019-03-31,0.0017494033885558924
2019-04-30,0.0019254737061717986
2019-05-31,0.0021214767818520386
2019-06-30,0.0018156899557515427
2019-07-31,0.0018040038910778211
2019-08-31,0.0016948691339397914
2019-09-30,0.0016185773507240153
2019-10-31,0.0016074127690166584
2019-11-30,0.001082413744388333
2019-12-31,0.001115935693017489
2020-01-31,0.0012027942181298545
2020-02-29,0.0011812077964603596
2020-03-31,0.0020452651764477636
2020-04-30,-0.00019686783278050068
2020-05-31,-0.00017448653924079238
2020-06-30,0.0
2020-07-31,0.00010929248374824674
2020-08-31,0.0
2020-09-30,-0.0002189510198964406
2020-10-31,0.00010969449741193849
2020-11-30,-0.00010968246584897035
2020-12-31,3.2957102333641686e-05
2021-01-31,0.0
2021-02-28,-0.00010910586427936853
2021-03-31,-0.00010941031060529571
2021-04-30,0.0
2021-05-31,-0.00010932475821523457
2021-06-30,-0.00021867342284964675
2021-07-31,-0.0001091655130632807
2021-08-31,-0.00010956769932513044
2021-09-30,0.00010957970572134101
2021-10-31,-0.00010956769932513044
2021-11-30,-0.00021818363490033743
2021-12-31,0.0
2022-01-31,0.0
2022-02-28,-0.0002187192441313046
2022-03-31,0.00045949875294937215
2022-04-30,-0.00010947967103014378
2022-05-31,0.00032779187138620713
2022-06-30,0.0007768238605794231
2022-07-31,0.00036086521089750967
2022-08-31,0.0019372699120476788
2022-09-30,0.00206812489976671
2022-10-31,0.0015851854986341785
2022-11-30,0.003151302745512341
2022-12-31,0.0036260260925506937
2023-01-31,0.0028426595859563086
2023-02-28,0.0034575711412105914
2023-03-31,0.003990826245263479
2023-04-30,0.0036304902114419058
2023-05-31,0.003751572686720772
2023-06-30,0.004606311263935181
2023-07-31,0.003859915000164804
2023-08-31,0.00496720163502351
2023-09-30,0.003991125193129941
2023-10-31,0.004309450736707854
2023-11-30,0.004681828592050685
2023-12-31,0.0042752920393431815
2024-01-31,0.004267546907064768
2024-02-29,0.004443015756760982
2024-03-31,0.004101966092523002
2024-04-30,0.004322079639883736
2024-05-31,0.004572959906496088
2024-06-30,0.003992660856092289
2024-07-31,0.004508474709598698
2024-08-31,0.004617095391020287
2024-09-30,0.004221980340238574
2024-10-31,0.003948252236168237
2024-11-30,0.003707099024783389
2024-12-31,0.004031296227223979
2025-01-31,0.003499936616831345
2025-02-28,0.0032379484183671092
2025-03-31,0.0032699319799762705
2025-04-30,0.003402302993829931
2025-05-31,0.0036321530972058813
2025-06-30,0.0033470383994420594
2025-07-31,0.0035656740887259897
2025-08-31,0.003707761297703671
2025-09-30,0.0033024124937865995
2025-10-31,0.0035106461394474042
2025-11-30,0.002875530880684707
2025-12-31,0.003352012366530044
2026-01-31,0.0029547300795138565
2026-02-28,-0.00032735470025258007
2026-03-31,0.0006894901429961298
